GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
patientmgt-backend,edu.secourse.patientportal.controller,AuthController,0,48,0,0,0,13,0,3,0,3
patientmgt-backend,edu.secourse.patientportal.controller,AppointmentController,33,192,5,17,9,49,5,14,0,8
patientmgt-backend,edu.secourse.patientportal.controller,UserController,0,163,0,14,0,38,0,14,0,6
patientmgt-backend,edu.secourse.patientportal.model,Appointment,8,260,1,31,8,74,1,32,0,17
patientmgt-backend,edu.secourse.patientportal.model,Doctor,0,11,0,0,0,4,0,2,0,2
patientmgt-backend,edu.secourse.patientportal.model,Patient,0,11,0,0,0,4,0,2,0,2
patientmgt-backend,edu.secourse.patientportal.model,Appointment.Status,0,21,0,0,0,4,0,1,0,1
patientmgt-backend,edu.secourse.patientportal.model,User,36,238,12,16,16,70,9,27,0,22
patientmgt-backend,edu.secourse.patientportal.model,Admin,0,11,0,0,0,4,0,2,0,2
patientmgt-backend,edu.secourse.patientportal.security,SecurityConfig,152,0,0,0,26,0,7,0,7,0
patientmgt-backend,edu.secourse.patientportal.service,AuthenticationService,0,117,0,2,0,30,0,6,0,5
patientmgt-backend,edu.secourse.patientportal.service,JwtUserDetailsService,0,38,0,0,0,10,0,3,0,3
patientmgt-backend,edu.secourse.patientportal.service,UserService,13,452,3,55,8,111,3,38,0,12
patientmgt-backend,edu.secourse.patientportal.service,AppointmentService,17,431,15,59,11,107,15,32,0,10
patientmgt-backend,edu.secourse.patientportal.exception,APIException,22,7,0,0,9,3,4,1,4,1
patientmgt-backend,edu.secourse.patientportal.exception,ResourceAlreadyExistsException,7,6,0,0,2,2,1,1,1,1
patientmgt-backend,edu.secourse.patientportal.exception,UnauthorizedException,7,6,0,0,2,2,1,1,1,1
patientmgt-backend,edu.secourse.patientportal.exception,RoleNotFoundException,7,6,0,0,2,2,1,1,1,1
patientmgt-backend,edu.secourse.patientportal.exception,InvalidInputException,7,6,0,0,2,2,1,1,1,1
patientmgt-backend,edu.secourse.patientportal.dto,AppointmentResponse,0,29,0,0,0,6,0,2,0,2
patientmgt-backend,edu.secourse.patientportal.dto,UserResponse,0,27,0,0,0,6,0,2,0,2
patientmgt-backend,edu.secourse.patientportal.util,JwtAuthenticationFilter,15,77,3,13,0,22,3,7,0,2
patientmgt-backend,edu.secourse.patientportal.util,Constants,3,0,0,0,1,0,1,0,1,0
patientmgt-backend,edu.secourse.patientportal.util,JwtUtil,0,79,0,0,0,27,0,7,0,7
patientmgt-backend,edu.secourse.patientportal.config,DataInitializer,0,31,0,2,0,7,0,4,0,3
patientmgt-backend,edu.secourse.patientportal.response,MLogixApiResponse,39,13,0,0,21,7,3,1,3,1
patientmgt-backend,edu.secourse.patientportal,PatientPortalApplication,8,0,0,0,3,0,2,0,2,0
